TAXON_ORDER,CATEGORY,SPECIES_CODE,SciName,SciName_updated,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
7921,species,levspa1,Accipiter brevipes,Accipiter brevipes,Levant Sparrowhawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
8062,species,norgos,Accipiter gentilis,Accipiter gentilis,Northern Goshawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
8020,species,eurspa1,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
27283,species,vibsta4,Acridotheres burmannicus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27283,species,vibsta4,Acridotheres burmannicus/leucocephalus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27283,species,vibsta4,Acridotheres leucocephalus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27278,species,commyn,Acridotheres tristis,Acridotheres tristis,Common Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
23137,species,sedwar1,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Sedge Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
23151,species,eurwar1,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Common Reed Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
22216,species,skylar,Alauda arvensis,Alauda arvensis,Eurasian Skylark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala rufescens,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala rufescens/heinei,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Calandrella rufescens,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala heinei,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
1680,species,chukar,Alectoris chukar,Alectoris chukar,Chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
21864,species,batlar1,Ammomanes cinctura,Ammomanes cinctura,Bar-tailed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
21869,species,deslar1,Ammomanes deserti,Ammomanes deserti,Desert Lark,Passeriformes,Alaudidae (Larks),Larks,NA
